time,temperature_2m (°F),relative_humidity_2m (%),dew_point_2m (°F),precipitation_probability (%),precipitation (inch),rain (inch),showers (inch),snowfall (inch),surface_pressure (hPa),snow_depth (ft),visibility (ft),cloud_cover (%),vapour_pressure_deficit (kPa),wind_speed_10m (mp/h),wind_speed_80m (mp/h),wind_direction_10m (°),wind_direction_80m (°),wind_gusts_10m (mp/h),temperature_80m (°F),soil_temperature_6cm (°F),soil_temperature_0cm (°F),soil_moisture_0_to_1cm (m³/m³),soil_moisture_1_to_3cm (m³/m³),evapotranspiration (inch)
2024-01-01T00:00,33.2,48,15.6,NaN,0.000,0.000,0.000,0.000,831.8,0.000,133858.266,63,0.33,4.3,5.5,12,21,6.0,35.6,35.7,29.5,0.115,0.120,-0.000
2024-01-01T01:00,31.8,50,15.3,NaN,0.000,0.000,0.000,0.000,831.6,0.000,125328.086,100,0.30,2.4,4.4,68,45,3.8,35.5,33.6,26.3,0.115,0.120,-0.000
2024-01-01T02:00,30.8,53,15.7,NaN,0.000,0.000,0.000,0.000,831.4,0.000,118438.320,50,0.27,5.3,4.5,123,117,5.4,35.4,31.3,23.8,0.116,0.120,-0.000
2024-01-01T03:00,27.3,64,16.7,NaN,0.000,0.000,0.000,0.000,830.5,0.000,88582.680,50,0.18,4.0,7.1,124,131,6.3,35.1,29.2,22.0,0.117,0.120,-0.000
2024-01-01T04:00,23.8,71,15.8,NaN,0.000,0.000,0.000,0.000,829.8,0.000,69553.805,4,0.13,5.0,1.6,352,45,4.9,34.7,27.8,20.7,0.117,0.120,-0.000
2024-01-01T05:00,23.5,68,14.5,NaN,0.000,0.000,0.000,0.000,829.5,0.000,67585.305,62,0.14,4.5,4.7,123,55,4.5,34.6,26.7,20.0,0.118,0.120,-0.000
2024-01-01T06:00,24.2,67,14.8,NaN,0.000,0.000,0.000,0.000,830.0,0.000,80708.664,46,0.15,6.5,3.4,186,184,6.5,34.1,26.0,19.4,0.118,0.120,-0.000
2024-01-01T07:00,22.3,77,16.2,NaN,0.000,0.000,0.000,0.000,828.8,0.000,60695.539,4,0.09,5.7,5.9,171,173,6.3,34.7,27.2,20.7,0.116,0.119,-0.000
2024-01-01T08:00,22.5,79,17.0,NaN,0.000,0.000,0.000,0.000,828.8,0.000,58070.867,4,0.09,5.4,7.2,182,187,7.2,34.9,26.5,20.0,0.117,0.119,-0.000
2024-01-01T09:00,21.8,71,13.9,NaN,0.000,0.000,0.000,0.000,828.7,0.000,65616.797,0,0.12,5.3,9.3,195,191,7.4,35.3,25.9,19.6,0.117,0.119,-0.000
2024-01-01T10:00,23.3,70,14.9,NaN,0.000,0.000,0.000,0.000,829.2,0.000,69225.719,0,0.13,8.0,12.4,193,203,12.1,35.7,25.4,19.1,0.117,0.119,-0.000
2024-01-01T11:00,25.2,61,13.6,NaN,0.000,0.000,0.000,0.000,829.2,0.000,93832.023,38,0.18,7.4,11.3,187,205,11.9,36.2,23.6,16.4,0.083,0.086,-0.000
2024-01-01T12:00,22.9,61,11.5,NaN,0.000,0.000,0.000,0.000,828.6,0.000,94488.188,46,0.16,5.4,11.4,189,216,8.5,36.5,23.2,16.2,0.083,0.086,-0.000
2024-01-01T13:00,21.2,67,11.9,NaN,0.000,0.000,0.000,0.000,828.2,0.000,70538.055,17,0.13,5.2,6.5,190,221,7.2,36.8,22.9,16.2,0.083,0.086,-0.000
2024-01-01T14:00,21.7,66,12.1,NaN,0.000,0.000,0.000,0.000,828.6,0.000,67913.383,48,0.14,2.7,6.5,175,236,4.0,37.1,22.5,15.9,0.084,0.087,-0.000
2024-01-01T15:00,26.2,59,13.8,NaN,0.000,0.000,0.000,0.000,830.4,0.000,99737.531,40,0.20,5.9,10.1,230,221,10.1,37.4,22.1,17.8,0.084,0.087,-0.000
2024-01-01T16:00,35.0,67,25.1,NaN,0.000,0.000,0.000,0.000,833.5,0.000,86286.094,0,0.23,3.0,7.9,216,235,6.9,38.0,23.3,29.4,0.084,0.087,0.000
2024-01-01T17:00,42.3,55,27.2,NaN,0.000,0.000,0.000,0.000,836.0,0.000,107939.633,27,0.41,5.1,5.2,221,227,5.4,40.1,27.3,43.4,0.084,0.087,0.000
2024-01-01T18:00,48.6,40,25.4,NaN,0.000,0.000,0.000,0.000,838.1,0.000,160433.078,2,0.70,3.8,3.7,234,237,3.8,43.0,34.4,55.2,0.084,0.088,0.000
2024-01-01T19:00,52.1,33,23.8,NaN,0.000,0.000,0.000,0.000,838.2,0.000,188976.375,0,0.89,4.2,4.5,198,198,7.2,44.6,40.6,59.9,0.083,0.088,0.000
2024-01-01T20:00,53.5,25,18.5,NaN,0.000,0.000,0.000,0.000,837.6,0.000,229658.797,4,1.05,3.7,4.1,166,171,5.4,46.5,44.8,60.4,0.082,0.088,0.000
2024-01-01T21:00,54.3,25,19.2,NaN,0.000,0.000,0.000,0.000,837.3,0.000,229002.625,4,1.08,4.9,5.4,133,132,5.4,48.2,47.0,59.3,0.080,0.088,0.000
2024-01-01T22:00,53.6,21,14.6,NaN,0.000,0.000,0.000,0.000,837.4,0.000,252624.672,59,1.11,5.4,6.1,150,152,6.0,48.6,47.8,54.5,0.080,0.088,0.000
2024-01-01T23:00,49.9,27,17.2,NaN,0.000,0.000,0.000,0.000,836.7,0.000,218503.938,45,0.89,5.5,8.4,153,146,8.3,47.7,46.6,46.1,0.079,0.088,-0.000
2024-01-02T00:00,43.2,40,20.4,NaN,0.000,0.000,0.000,0.000,835.0,0.000,163385.828,77,0.57,3.8,8.4,173,158,6.9,46.6,43.9,36.9,0.072,0.081,-0.000
2024-01-02T01:00,40.0,48,21.9,NaN,0.000,0.000,0.000,0.000,834.3,0.000,133530.188,30,0.44,3.6,7.2,137,184,3.8,45.3,40.1,31.8,0.073,0.081,-0.000
2024-01-02T02:00,37.0,46,18.2,NaN,0.000,0.000,0.000,0.000,833.7,0.000,138123.359,23,0.40,3.6,0.9,173,225,3.8,44.6,37.0,28.3,0.074,0.081,-0.000
2024-01-02T03:00,37.4,28,7.2,NaN,0.000,0.000,0.000,0.000,834.3,0.000,208661.422,79,0.55,2.7,8.1,228,289,4.7,43.8,34.4,25.5,0.074,0.081,-0.000
2024-01-02T04:00,36.4,49,19.0,NaN,0.000,0.000,0.000,0.000,834.1,0.000,128937.008,100,0.37,5.0,1.9,167,135,4.9,42.4,32.5,24.5,0.075,0.081,-0.000
2024-01-02T05:00,35.2,53,19.8,NaN,0.000,0.000,0.000,0.000,833.9,0.000,118766.406,100,0.33,5.8,11.7,266,267,8.1,40.8,31.1,23.5,0.076,0.081,-0.000
2024-01-02T06:00,33.3,60,20.9,NaN,0.000,0.000,0.000,0.000,834.0,0.000,95472.445,49,0.26,4.3,2.2,133,6,4.3,39.9,30.6,23.2,0.080,0.081,-0.000
2024-01-02T07:00,34.4,50,17.7,NaN,0.000,0.000,0.000,0.000,834.8,0.000,122375.328,41,0.34,4.7,8.1,161,106,5.6,37.9,29.5,21.4,0.081,0.082,-0.000
2024-01-02T08:00,31.2,58,18.1,NaN,0.000,0.000,0.000,0.000,834.1,0.000,101706.039,0,0.25,5.8,2.6,324,15,5.6,35.0,28.5,20.0,0.085,0.082,-0.000
2024-01-02T09:00,29.9,50,13.5,NaN,0.000,0.000,0.000,0.000,834.2,0.000,122703.414,1,0.28,4.2,9.8,252,319,6.0,33.6,27.3,18.1,0.085,0.083,-0.000
2024-01-02T10:00,27.7,54,13.2,NaN,0.000,0.000,0.000,0.000,834.4,0.000,110564.305,9,0.24,0.8,8.7,56,44,4.3,32.9,26.3,16.7,0.084,0.083,-0.000
2024-01-02T11:00,25.8,57,12.6,NaN,0.000,0.000,0.000,0.000,833.5,0.000,104002.625,22,0.20,2.7,5.1,360,52,5.4,32.7,25.2,15.7,0.084,0.084,-0.000
2024-01-02T12:00,24.5,65,14.4,NaN,0.000,0.000,0.000,0.000,833.2,0.000,81692.914,0,0.16,1.1,4.5,11,3,2.7,32.1,25.3,16.6,0.086,0.085,-0.000
2024-01-02T13:00,25.3,55,11.4,NaN,0.000,0.000,0.000,0.000,833.4,0.000,109580.055,10,0.21,3.0,3.1,167,60,3.1,32.0,24.5,16.2,0.086,0.085,-0.000
2024-01-02T14:00,22.4,76,15.9,NaN,0.000,0.000,0.000,0.000,832.8,0.000,61679.789,3,0.10,2.4,3.0,221,153,2.7,31.9,23.8,16.4,0.086,0.085,-0.000
2024-01-02T15:00,23.5,71,15.5,NaN,0.000,0.000,0.000,0.000,833.2,0.000,73162.727,50,0.13,1.7,6.6,220,213,4.3,32.0,23.6,18.5,0.086,0.086,-0.000
2024-01-02T16:00,33.0,62,21.4,NaN,0.000,0.000,0.000,0.000,836.2,0.000,91863.516,20,0.24,4.0,8.6,196,200,8.3,33.1,24.7,29.0,0.086,0.086,-0.000
2024-01-02T17:00,38.7,62,26.8,NaN,0.000,0.000,0.000,0.000,837.8,0.000,89895.016,1,0.30,5.0,6.5,188,184,6.9,36.0,28.4,40.9,0.086,0.086,0.000
2024-01-02T18:00,42.7,49,24.9,NaN,0.000,0.000,0.000,0.000,838.3,0.000,122375.328,1,0.48,4.4,4.8,165,169,9.2,38.3,34.1,50.6,0.085,0.087,0.000
2024-01-02T19:00,45.6,45,25.5,NaN,0.000,0.000,0.000,0.000,838.2,0.000,136154.859,0,0.57,4.7,6.2,149,154,7.4,40.2,39.1,55.2,0.084,0.087,0.000
2024-01-02T20:00,48.1,42,26.1,NaN,0.000,0.000,0.000,0.000,837.5,0.000,147309.719,0,0.66,5.2,5.7,137,138,5.8,42.0,43.1,57.0,0.083,0.087,0.000
2024-01-02T21:00,48.9,38,24.4,NaN,0.000,0.000,0.000,0.000,836.8,0.000,164698.156,0,0.73,4.7,5.5,121,122,5.6,43.5,45.4,55.7,0.082,0.087,0.000
2024-01-02T22:00,49.2,34,22.0,NaN,0.000,0.000,0.000,0.000,836.6,0.000,182414.703,0,0.79,3.1,4.1,111,119,5.6,43.7,46.1,51.7,0.081,0.087,0.000
2024-01-02T23:00,48.2,33,20.4,NaN,0.000,0.000,0.000,0.000,836.4,0.000,187007.875,1,0.77,4.2,5.0,106,103,5.4,43.1,45.1,44.1,0.081,0.087,-0.000
2024-01-03T00:00,42.0,40,19.4,NaN,0.000,0.000,0.000,0.000,834.9,0.000,160761.156,0,0.54,5.1,8.1,119,122,7.4,42.1,41.5,34.4,0.080,0.086,-0.000
2024-01-03T01:00,36.7,51,20.2,NaN,0.000,0.000,0.000,0.000,833.7,0.000,122047.242,0,0.36,2.8,7.8,198,167,6.0,41.5,38.1,30.7,0.080,0.086,-0.000
2024-01-03T02:00,32.9,46,14.4,NaN,0.000,0.000,0.000,0.000,832.5,0.000,135826.766,0,0.34,4.9,9.6,309,344,6.3,41.2,35.4,27.7,0.080,0.086,-0.000
2024-01-03T03:00,30.3,58,17.3,NaN,0.000,0.000,0.000,0.000,831.8,0.000,102034.125,0,0.24,3.7,7.8,284,342,3.6,40.0,33.3,25.2,0.081,0.086,-0.000
2024-01-03T04:00,29.9,62,18.5,NaN,0.000,0.000,0.000,0.000,831.6,0.000,92519.688,0,0.21,5.6,4.3,203,264,6.3,38.3,31.5,23.5,0.081,0.086,-0.000
