time,temperature_2m (°F),relative_humidity_2m (%),dew_point_2m (°F),precipitation_probability (%),precipitation (inch),rain (inch),showers (inch),snowfall (inch),surface_pressure (hPa),snow_depth (ft),visibility (ft),cloud_cover (%),vapour_pressure_deficit (kPa),wind_speed_10m (mp/h),wind_speed_80m (mp/h),wind_direction_10m (°),wind_direction_80m (°),wind_gusts_10m (mp/h),temperature_80m (°F),soil_temperature_6cm (°F),soil_temperature_0cm (°F),soil_moisture_0_to_1cm (m³/m³),soil_moisture_1_to_3cm (m³/m³),evapotranspiration (inch)
2025-01-01T00:00,30.6,49,13.6,0,0.000,0.000,0.000,0.000,836.8,0.000,124015.750,99,0.29,8.5,14.1,60,61,15.2,28.8,35.2,29.3,0.089,0.093,-0.000
2025-01-01T01:00,27.9,57,14.7,0,0.000,0.000,0.000,0.000,837.5,0.000,106627.297,99,0.22,6.6,12.5,66,66,14.5,27.3,33.6,28.6,0.089,0.093,-0.000
2025-01-01T02:00,24.4,57,11.4,0,0.000,0.000,0.000,0.000,837.3,0.000,104330.711,99,0.19,4.7,7.7,121,107,10.5,26.3,32.6,27.9,0.090,0.093,-0.000
2025-01-01T03:00,24.9,58,12.2,0,0.000,0.000,0.000,0.000,838.4,0.000,100393.703,99,0.19,1.7,3.8,157,97,7.8,25.7,31.5,23.9,0.090,0.094,-0.000
2025-01-01T04:00,24.3,72,16.5,0,0.000,0.000,0.000,0.000,838.7,0.000,67913.383,100,0.12,3.6,6.2,137,136,7.8,25.0,29.9,19.8,0.091,0.094,-0.000
2025-01-01T05:00,21.6,85,17.7,0,0.000,0.000,0.000,0.000,837.8,0.000,43635.172,100,0.06,4.5,8.3,96,92,8.7,24.7,28.2,18.2,0.092,0.094,-0.000
2025-01-01T06:00,20.2,85,16.4,0,0.000,0.000,0.000,0.000,837.9,0.000,45275.590,39,0.06,4.5,10.2,123,119,10.1,23.2,27.2,17.1,0.091,0.094,-0.000
2025-01-01T07:00,20.8,84,16.8,0,0.000,0.000,0.000,0.000,837.3,0.000,48884.516,49,0.06,3.4,6.5,212,158,4.3,23.0,26.0,16.2,0.092,0.095,-0.000
2025-01-01T08:00,19.6,83,15.3,0,0.000,0.000,0.000,0.000,836.2,0.000,48228.348,1,0.06,4.9,10.4,183,170,7.6,23.4,24.9,15.2,0.092,0.095,-0.000
2025-01-01T09:00,18.2,79,12.8,0,0.000,0.000,0.000,0.000,835.8,0.000,52821.523,1,0.07,5.5,11.3,194,187,8.9,23.9,24.1,14.5,0.093,0.095,-0.000
2025-01-01T10:00,18.2,73,11.0,0,0.000,0.000,0.000,0.000,835.6,0.000,61679.789,0,0.09,5.1,10.8,182,185,8.9,25.0,23.4,14.7,0.093,0.095,-0.000
2025-01-01T11:00,18.2,74,11.3,0,0.000,0.000,0.000,0.000,834.7,0.000,67585.305,8,0.09,5.8,15.0,182,184,11.2,24.9,22.8,13.6,0.093,0.096,-0.000
2025-01-01T12:00,17.8,73,10.6,0,0.000,0.000,0.000,0.000,833.4,0.000,68897.641,3,0.09,5.7,17.3,189,187,11.9,24.4,22.3,13.0,0.093,0.096,-0.000
2025-01-01T13:00,18.8,69,10.3,0,0.000,0.000,0.000,0.000,833.0,0.000,72178.477,0,0.11,8.6,21.6,171,174,17.7,24.7,21.8,12.1,0.094,0.096,-0.000
2025-01-01T14:00,19.2,73,12.0,0,0.000,0.000,0.000,0.000,832.7,0.000,70209.977,0,0.10,7.7,17.7,187,183,15.2,24.8,21.1,11.2,0.094,0.096,-0.000
2025-01-01T15:00,20.7,72,13.1,0,0.000,0.000,0.000,0.000,832.5,0.000,71522.312,0,0.11,7.5,16.5,171,171,14.1,24.8,20.7,11.7,0.094,0.097,-0.000
2025-01-01T16:00,25.8,72,18.0,0,0.000,0.000,0.000,0.000,833.9,0.000,71522.312,0,0.13,6.6,11.0,190,187,11.9,25.9,20.6,20.4,0.094,0.097,-0.000
2025-01-01T17:00,29.8,67,20.2,0,0.000,0.000,0.000,0.000,835.3,0.000,82021.000,48,0.19,6.3,7.8,186,180,7.8,28.3,22.2,33.5,0.095,0.097,-0.000
2025-01-01T18:00,34.8,48,17.1,0,0.000,0.000,0.000,0.000,835.4,0.000,133530.188,52,0.36,4.3,5.8,159,157,8.7,30.2,28.4,44.3,0.094,0.097,0.000
2025-01-01T19:00,38.1,38,14.7,0,0.000,0.000,0.000,0.000,834.4,0.000,168635.172,83,0.48,4.3,5.8,141,144,8.3,32.4,33.5,49.5,0.094,0.097,0.000
2025-01-01T20:00,40.2,30,11.2,0,0.000,0.000,0.000,0.000,833.9,0.000,205380.578,67,0.59,5.6,6.5,127,131,7.4,34.7,38.2,52.2,0.093,0.097,0.000
2025-01-01T21:00,42.4,24,8.1,0,0.000,0.000,0.000,0.000,833.8,0.000,237204.719,3,0.70,2.4,2.5,158,170,10.1,36.8,41.0,50.9,0.092,0.097,0.000
2025-01-01T22:00,43.6,24,9.1,0,0.000,0.000,0.000,0.000,833.3,0.000,238845.141,23,0.73,0.6,0.6,135,45,5.8,37.8,42.0,46.8,0.092,0.097,0.000
2025-01-01T23:00,42.2,22,6.0,0,0.000,0.000,0.000,0.000,832.9,0.000,254593.172,3,0.71,3.8,5.3,36,15,8.9,37.6,41.1,39.2,0.092,0.097,0.000
2025-01-02T00:00,36.4,25,3.9,0,0.000,0.000,0.000,0.000,831.5,0.000,233923.891,0,0.55,4.0,7.9,109,97,7.8,36.5,37.7,29.6,0.091,0.094,-0.000
2025-01-02T01:00,34.9,29,5.8,0,0.000,0.000,0.000,0.000,830.9,0.000,210958.000,26,0.49,4.7,6.6,149,118,6.0,35.6,34.6,25.9,0.091,0.095,-0.000
2025-01-02T02:00,31.5,32,5.0,0,0.000,0.000,0.000,0.000,829.8,0.000,194553.812,89,0.41,3.3,9.4,132,86,8.3,35.0,32.1,23.6,0.091,0.095,-0.000
2025-01-02T03:00,31.5,55,17.1,0,0.000,0.000,0.000,0.000,830.1,0.000,113517.062,97,0.27,4.2,7.3,164,153,7.8,35.4,30.1,19.9,0.092,0.095,-0.000
2025-01-02T04:00,31.3,45,12.4,0,0.000,0.000,0.000,0.000,830.3,0.000,139763.781,97,0.33,1.7,11.8,113,117,6.5,35.8,28.3,19.7,0.092,0.095,-0.000
2025-01-02T05:00,28.3,43,8.6,1,0.000,0.000,0.000,0.000,829.2,0.000,147309.719,81,0.30,4.3,6.4,159,108,5.1,36.2,27.2,18.4,0.092,0.095,-0.000
