time,temperature_2m (°F),relative_humidity_2m (%),dew_point_2m (°F),precipitation_probability (%),precipitation (inch),rain (inch),showers (inch),snowfall (inch),surface_pressure (hPa),snow_depth (ft),visibility (ft),cloud_cover (%),vapour_pressure_deficit (kPa),wind_speed_10m (mp/h),wind_speed_80m (mp/h),wind_direction_10m (°),wind_direction_80m (°),wind_gusts_10m (mp/h),temperature_80m (°F),soil_temperature_6cm (°F),soil_temperature_0cm (°F),soil_moisture_0_to_1cm (m³/m³),soil_moisture_1_to_3cm (m³/m³),evapotranspiration (inch)
2021-01-01T00:00,32.4,54,17.6,NaN,0.000,0.000,0.000,0.000,829.1,0.000,114829.398,67,0.29,5.1,10.6,358,8,10.5,NaN,NaN,NaN,NaN,NaN,-0.000
2021-01-01T01:00,31.7,56,17.8,NaN,0.000,0.000,0.000,0.000,830.3,0.000,108595.805,100,0.27,3.6,7.4,7,360,7.4,NaN,NaN,NaN,NaN,NaN,-0.000
2021-01-01T02:00,31.0,65,20.6,NaN,0.000,0.000,0.000,0.000,831.2,0.000,87926.508,100,0.21,1.8,7.6,7,19,5.1,NaN,NaN,NaN,NaN,NaN,-0.000
2021-01-01T03:00,31.5,58,18.5,NaN,0.000,0.000,0.000,0.000,832.4,0.000,101377.953,48,0.25,1.1,5.8,169,23,6.0,NaN,NaN,NaN,NaN,NaN,-0.000
2021-01-01T04:00,30.6,55,16.3,NaN,0.000,0.000,0.000,0.000,832.2,0.000,109251.969,54,0.26,1.6,4.7,326,360,3.1,NaN,NaN,NaN,NaN,NaN,-0.000
2021-01-01T05:00,28.8,50,12.4,NaN,0.000,0.000,0.000,0.000,832.3,0.000,123687.664,53,0.27,3.4,5.8,247,13,3.6,NaN,NaN,NaN,NaN,NaN,-0.000
2021-01-01T06:00,28.1,56,14.4,NaN,0.000,0.000,0.000,0.000,832.4,0.000,105971.133,59,0.23,1.8,5.5,263,14,3.8,NaN,NaN,NaN,NaN,NaN,-0.000
2021-01-01T07:00,26.6,59,14.2,NaN,0.000,0.000,0.000,0.000,831.8,0.000,98425.195,30,0.20,0.9,4.2,256,25,3.6,NaN,NaN,NaN,NaN,NaN,-0.000
2021-01-01T08:00,27.1,54,12.7,NaN,0.000,0.000,0.000,0.000,832.3,0.000,111876.641,45,0.23,2.2,6.2,217,347,3.4,NaN,NaN,NaN,NaN,NaN,-0.000
2021-01-01T09:00,24.3,63,13.5,NaN,0.000,0.000,0.000,0.000,831.7,0.000,84645.672,21,0.17,4.2,4.5,238,290,4.3,NaN,NaN,NaN,NaN,NaN,-0.000
2021-01-01T10:00,24.4,61,12.9,NaN,0.000,0.000,0.000,0.000,831.6,0.000,94160.109,18,0.18,5.4,5.9,232,313,5.4,NaN,NaN,NaN,NaN,NaN,-0.000
2021-01-01T11:00,24.6,61,13.1,NaN,0.000,0.000,0.000,0.000,831.7,0.000,95144.359,50,0.18,3.9,5.9,246,317,4.5,NaN,NaN,NaN,NaN,NaN,-0.000
2021-01-01T12:00,23.5,60,11.7,NaN,0.000,0.000,0.000,0.000,831.4,0.000,95472.445,50,0.17,4.3,8.4,258,326,5.8,NaN,NaN,NaN,NaN,NaN,-0.000
2021-01-01T13:00,22.7,62,11.6,NaN,0.000,0.000,0.000,0.000,831.6,0.000,87926.508,45,0.16,3.9,6.4,239,342,3.8,NaN,NaN,NaN,NaN,NaN,-0.000
2021-01-01T14:00,22.5,59,10.4,NaN,0.000,0.000,0.000,0.000,832.3,0.000,85958.008,72,0.17,4.7,4.0,205,322,4.7,NaN,NaN,NaN,NaN,NaN,-0.000
2021-01-01T15:00,23.3,68,14.3,NaN,0.000,0.000,0.000,0.000,833.8,0.000,79068.242,100,0.14,4.0,5.4,227,336,4.0,NaN,NaN,NaN,NaN,NaN,-0.000
2021-01-01T16:00,27.2,68,18.1,NaN,0.000,0.000,0.000,0.000,836.6,0.000,81036.742,100,0.16,3.8,2.6,230,322,3.6,NaN,NaN,NaN,NaN,NaN,-0.000
2021-01-01T17:00,32.4,61,20.4,NaN,0.000,0.000,0.000,0.000,838.4,0.000,93832.023,60,0.24,1.8,2.5,300,333,8.7,NaN,NaN,NaN,NaN,NaN,0.000
2021-01-01T18:00,34.9,58,21.6,NaN,0.000,0.000,0.000,0.000,838.5,0.000,97440.945,81,0.29,2.1,2.7,319,336,3.4,NaN,NaN,NaN,NaN,NaN,0.000
2021-01-01T19:00,37.9,51,21.4,NaN,0.000,0.000,0.000,0.000,838.0,0.000,115813.648,32,0.38,2.1,2.7,311,318,4.5,NaN,NaN,NaN,NaN,NaN,0.000
2021-01-01T20:00,39.9,47,21.3,NaN,0.000,0.000,0.000,0.000,837.6,0.000,131233.594,9,0.44,1.6,1.4,45,18,2.2,NaN,NaN,NaN,NaN,NaN,0.000
2021-01-01T21:00,40.9,44,20.6,NaN,0.000,0.000,0.000,0.000,837.1,0.000,141076.109,13,0.49,2.1,2.5,103,100,3.1,NaN,NaN,NaN,NaN,NaN,0.000
2021-01-01T22:00,40.3,43,19.5,NaN,0.000,0.000,0.000,0.000,836.4,0.000,146653.547,56,0.48,3.9,4.5,100,108,4.9,NaN,NaN,NaN,NaN,NaN,0.000
