time,temperature_2m (°F),relative_humidity_2m (%),dew_point_2m (°F),precipitation_probability (%),precipitation (inch),rain (inch),showers (inch),snowfall (inch),surface_pressure (hPa),snow_depth (ft),visibility (ft),cloud_cover (%),vapour_pressure_deficit (kPa),wind_speed_10m (mp/h),wind_speed_80m (mp/h),wind_direction_10m (°),wind_direction_80m (°),wind_gusts_10m (mp/h),temperature_80m (°F),soil_temperature_6cm (°F),soil_temperature_0cm (°F),soil_moisture_0_to_1cm (m³/m³),soil_moisture_1_to_3cm (m³/m³),evapotranspiration (inch)
2024-01-01T00:00,34.4,93,32.6,NaN,0.020,0.020,0.000,0.000,982.5,0.000,42650.918,100,0.05,6.5,11.9,6,4,14.8,31.7,35.1,31.9,0.263,0.264,0.000
2024-01-01T01:00,34.0,95,32.7,NaN,0.012,0.004,0.000,0.055,983.1,0.000,40354.332,100,0.03,6.5,12.5,6,9,18.1,31.6,34.5,31.4,0.263,0.264,0.000
2024-01-01T02:00,34.0,94,32.4,NaN,0.008,0.008,0.000,0.000,983.6,0.000,41338.582,100,0.04,6.5,11.0,352,358,16.3,31.1,34.1,31.1,0.263,0.264,0.000
2024-01-01T03:00,33.8,94,32.3,NaN,0.000,0.000,0.000,0.000,984.1,0.000,41338.582,100,0.04,8.1,14.3,354,356,19.5,31.5,33.7,30.8,0.263,0.264,0.000
2024-01-01T04:00,33.4,92,31.4,NaN,0.000,0.000,0.000,0.000,984.7,0.000,43635.172,100,0.05,9.6,17.3,359,4,22.1,31.0,33.5,30.3,0.263,0.264,0.000
2024-01-01T05:00,32.5,94,30.9,NaN,0.000,0.000,0.000,0.000,985.4,0.000,41010.500,100,0.04,11.2,19.1,2,7,22.8,29.4,33.3,29.8,0.262,0.264,0.000
2024-01-01T06:00,32.0,91,29.7,NaN,0.000,0.000,0.000,0.000,985.9,0.000,10170.604,100,0.06,10.7,18.9,1,5,24.2,29.5,33.1,29.4,0.262,0.264,0.000
2024-01-01T07:00,31.6,87,28.2,NaN,0.000,0.000,0.000,0.000,986.3,0.000,51837.270,100,0.08,10.6,18.5,5,8,22.1,28.3,32.4,27.0,0.288,0.291,0.000
2024-01-01T08:00,31.4,86,27.7,NaN,0.000,0.000,0.000,0.000,987.2,0.000,54133.859,100,0.08,10.1,17.5,3,6,20.1,27.2,32.2,26.5,0.288,0.290,0.000
2024-01-01T09:00,31.0,85,27.0,NaN,0.000,0.000,0.000,0.000,987.7,0.000,56102.363,100,0.09,9.6,16.1,359,2,18.3,26.3,32.0,26.1,0.287,0.290,0.000
2024-01-01T10:00,30.5,84,26.2,NaN,0.000,0.000,0.000,0.000,988.3,0.000,57086.613,100,0.09,7.7,12.1,352,356,14.3,25.7,32.0,25.3,0.286,0.290,0.000
2024-01-01T11:00,30.1,84,25.9,NaN,0.000,0.000,0.000,0.000,988.8,0.000,58398.949,100,0.09,7.2,10.8,344,347,11.2,25.4,33.5,30.9,0.290,0.291,0.000
2024-01-01T12:00,29.7,82,24.8,NaN,0.000,0.000,0.000,0.000,989.6,0.000,61023.621,100,0.10,6.5,9.4,346,346,10.1,25.2,32.8,29.1,0.290,0.292,0.000
2024-01-01T13:00,29.4,83,24.9,NaN,0.000,0.000,0.000,0.000,990.0,0.000,60039.371,100,0.09,5.1,7.6,337,339,9.6,25.0,32.4,28.7,0.290,0.292,0.000
2024-01-01T14:00,29.6,82,24.8,NaN,0.000,0.000,0.000,0.000,990.7,0.000,61351.707,100,0.10,4.5,7.1,323,325,9.4,25.2,32.1,28.6,0.289,0.292,0.000
2024-01-01T15:00,29.6,84,25.3,NaN,0.000,0.000,0.000,0.000,991.3,0.000,58398.949,100,0.09,4.7,7.3,329,329,8.9,26.0,32.1,30.0,0.289,0.291,0.000
2024-01-01T16:00,29.8,83,25.3,NaN,0.000,0.000,0.000,0.000,991.7,0.000,60039.371,100,0.10,5.2,7.5,320,323,8.9,27.0,32.1,31.8,0.289,0.291,0.000
2024-01-01T17:00,30.4,79,24.6,NaN,0.000,0.000,0.000,0.000,991.5,0.000,66272.969,100,0.12,5.9,7.6,317,315,8.7,28.0,32.5,32.2,0.291,0.291,0.000
2024-01-01T18:00,30.6,80,25.1,NaN,0.000,0.000,0.000,0.000,991.2,0.000,63648.293,100,0.12,6.0,8.1,321,318,9.8,28.0,32.8,33.6,0.291,0.291,0.000
2024-01-01T19:00,30.2,79,24.5,NaN,0.000,0.000,0.000,0.000,990.8,0.000,64960.629,100,0.12,6.7,8.2,307,305,10.1,28.2,33.1,32.7,0.290,0.291,0.000
2024-01-01T20:00,30.0,81,24.9,NaN,0.000,0.000,0.000,0.000,990.8,0.000,62664.043,100,0.11,7.0,9.5,287,289,10.7,28.5,33.3,32.7,0.289,0.290,0.000
2024-01-01T21:00,30.0,78,24.0,NaN,0.000,0.000,0.000,0.000,990.9,0.000,66272.969,100,0.12,7.7,10.5,278,281,12.1,28.6,33.3,32.2,0.288,0.289,0.000
2024-01-01T22:00,30.3,75,23.3,NaN,0.000,0.000,0.000,0.000,991.2,0.000,71850.391,100,0.14,7.0,10.0,277,279,12.1,28.7,33.1,31.3,0.287,0.289,0.000
2024-01-01T23:00,30.3,74,23.0,NaN,0.000,0.000,0.000,0.000,991.2,0.000,73818.898,100,0.15,7.0,10.1,287,284,11.4,28.4,32.8,30.6,0.287,0.288,0.000
2024-01-02T00:00,30.4,74,23.1,NaN,0.000,0.000,0.000,0.000,991.2,0.000,73818.898,100,0.15,6.3,8.5,264,264,12.1,27.9,32.2,29.6,0.291,0.293,0.000
2024-01-02T01:00,30.8,77,24.5,NaN,0.000,0.000,0.000,0.000,991.3,0.000,68569.555,100,0.13,7.8,11.6,268,269,13.4,27.2,32.1,29.9,0.291,0.293,0.000
2024-01-02T02:00,30.4,77,24.0,NaN,0.000,0.000,0.000,0.000,991.0,0.000,68241.469,100,0.13,8.5,13.0,265,267,14.8,26.7,32.1,29.9,0.291,0.293,0.000
2024-01-02T03:00,30.3,76,23.6,NaN,0.000,0.000,0.000,0.000,990.5,0.000,70866.141,100,0.14,9.6,14.5,259,261,16.1,26.0,32.1,29.6,0.291,0.292,0.000
2024-01-02T04:00,30.9,76,24.2,NaN,0.000,0.000,0.000,0.000,990.1,0.000,71194.227,100,0.14,9.1,14.3,253,256,17.2,25.6,32.0,29.0,0.290,0.292,0.000
2024-01-02T05:00,30.7,77,24.4,NaN,0.000,0.000,0.000,0.000,989.6,0.000,68241.469,100,0.13,8.3,13.7,246,249,17.2,25.6,32.0,28.7,0.289,0.292,0.000
2024-01-02T06:00,30.9,78,24.9,NaN,0.000,0.000,0.000,0.000,989.1,0.000,67913.383,100,0.13,9.7,15.5,247,248,18.8,25.4,32.1,29.0,0.289,0.291,0.000
2024-01-02T07:00,30.6,77,24.2,NaN,0.000,0.000,0.000,0.000,988.7,0.000,67913.383,100,0.13,10.3,16.1,243,245,18.3,25.7,32.0,29.1,0.288,0.291,0.000
2024-01-02T08:00,29.6,82,24.8,NaN,0.000,0.000,0.000,0.000,989.0,0.000,60039.371,100,0.10,12.3,18.4,248,248,19.7,26.1,32.0,29.3,0.288,0.290,0.000
2024-01-02T09:00,29.8,82,25.0,NaN,0.000,0.000,0.000,0.000,988.7,0.000,58727.035,100,0.10,11.5,17.5,248,249,19.9,26.3,32.0,29.3,0.288,0.290,0.000
2024-01-02T10:00,30.1,81,25.0,NaN,0.000,0.000,0.000,0.000,988.4,0.000,61351.707,100,0.11,11.5,17.9,238,241,20.1,26.6,32.0,29.5,0.287,0.290,0.000
2024-01-02T11:00,30.2,80,24.8,NaN,0.000,0.000,0.000,0.000,988.2,0.000,62992.125,100,0.11,12.1,18.6,236,237,21.3,26.7,31.9,29.7,0.287,0.289,0.000
2024-01-02T12:00,30.1,78,24.1,NaN,0.000,0.000,0.000,0.000,988.1,0.000,67257.219,100,0.12,12.4,19.7,240,242,21.5,26.6,32.1,29.8,0.286,0.289,0.000
