time,temperature_2m (°F),relative_humidity_2m (%),dew_point_2m (°F),precipitation_probability (%),precipitation (inch),rain (inch),showers (inch),snowfall (inch),surface_pressure (hPa),snow_depth (ft),visibility (ft),cloud_cover (%),vapour_pressure_deficit (kPa),wind_speed_10m (mp/h),wind_speed_80m (mp/h),wind_direction_10m (°),wind_direction_80m (°),wind_gusts_10m (mp/h),temperature_80m (°F),soil_temperature_6cm (°F),soil_temperature_0cm (°F),soil_moisture_0_to_1cm (m³/m³),soil_moisture_1_to_3cm (m³/m³),evapotranspiration (inch)
2025-01-01T00:00,52.6,50,34.5,0,0.000,0.000,0.000,0.000,1003.6,0.000,122703.414,4,0.68,3.6,8.5,353,2,9.8,53.4,58.2,49.8,0.317,0.330,-0.000
2025-01-01T01:00,51.0,47,31.5,0,0.000,0.000,0.000,0.000,1003.9,0.000,133202.094,5,0.68,2.6,8.5,20,23,6.3,52.6,56.3,47.9,0.318,0.329,-0.000
2025-01-01T02:00,48.8,51,31.5,0,0.000,0.000,0.000,0.000,1004.2,0.000,119750.656,6,0.58,2.9,6.2,94,75,4.9,51.1,54.6,46.3,0.318,0.329,-0.000
2025-01-01T03:00,47.9,60,34.7,0,0.000,0.000,0.000,0.000,1004.6,0.000,95800.523,0,0.46,2.0,10.2,63,40,7.2,49.9,53.2,45.2,0.319,0.329,-0.000
2025-01-01T04:00,45.9,63,34.0,0,0.000,0.000,0.000,0.000,1005.6,0.000,89895.016,0,0.39,2.7,10.6,55,36,8.7,49.0,52.0,44.3,0.320,0.329,-0.000
2025-01-01T05:00,44.6,65,33.6,0,0.000,0.000,0.000,0.000,1006.4,0.000,84645.672,1,0.35,4.3,13.8,39,32,10.7,48.2,50.9,43.1,0.320,0.329,-0.000
2025-01-01T06:00,43.3,66,32.7,0,0.000,0.000,0.000,0.000,1006.9,0.000,82677.164,0,0.33,2.8,12.0,18,33,9.6,47.3,49.8,42.2,0.322,0.329,-0.000
2025-01-01T07:00,42.2,70,33.1,0,0.000,0.000,0.000,0.000,1007.3,0.000,74146.984,0,0.27,3.2,11.7,12,31,8.7,46.2,49.0,41.4,0.322,0.329,-0.000
2025-01-01T08:00,41.5,69,32.0,0,0.000,0.000,0.000,0.000,1007.8,0.000,75787.398,0,0.28,3.6,14.6,30,29,11.4,44.8,48.2,40.6,0.323,0.329,-0.000
2025-01-01T09:00,40.6,75,33.3,0,0.000,0.000,0.000,0.000,1008.5,0.000,66929.133,2,0.22,4.0,16.2,16,28,12.8,43.7,47.5,39.9,0.323,0.329,-0.000
2025-01-01T10:00,39.8,78,33.5,0,0.000,0.000,0.000,0.000,1009.0,0.000,61679.789,0,0.18,3.4,14.1,23,35,13.9,42.7,46.9,39.4,0.324,0.329,-0.000
2025-01-01T11:00,38.8,78,32.6,0,0.000,0.000,0.000,0.000,1009.4,0.000,62007.875,0,0.18,3.0,13.0,347,22,13.0,41.8,46.2,38.8,0.324,0.330,-0.000
2025-01-01T12:00,38.0,74,30.5,0,0.000,0.000,0.000,0.000,1010.2,0.000,67585.305,6,0.20,3.6,11.8,349,19,9.4,41.3,45.4,37.7,0.325,0.330,-0.000
2025-01-01T13:00,37.3,79,31.4,0,0.000,0.000,0.000,0.000,1011.1,0.000,60367.453,0,0.16,3.2,11.2,309,12,8.5,40.8,44.8,37.0,0.325,0.330,-0.000
2025-01-01T14:00,37.3,80,31.7,0,0.000,0.000,0.000,0.000,1011.6,0.000,58727.035,0,0.15,3.6,10.3,330,16,10.3,40.0,44.2,37.4,0.326,0.330,-0.000
2025-01-01T15:00,41.9,67,31.7,0,0.000,0.000,0.000,0.000,1012.4,0.000,78412.070,8,0.30,5.0,7.4,10,16,13.0,40.2,44.4,43.7,0.326,0.330,-0.000
2025-01-01T16:00,44.5,66,33.9,0,0.000,0.000,0.000,0.000,1012.8,0.000,78412.070,18,0.34,5.4,6.8,17,23,10.1,41.1,46.0,50.0,0.325,0.331,0.000
