time,temperature_2m (°F),relative_humidity_2m (%),dew_point_2m (°F),precipitation_probability (%),precipitation (inch),rain (inch),showers (inch),snowfall (inch),surface_pressure (hPa),snow_depth (ft),visibility (ft),cloud_cover (%),vapour_pressure_deficit (kPa),wind_speed_10m (mp/h),wind_speed_80m (mp/h),wind_direction_10m (°),wind_direction_80m (°),wind_gusts_10m (mp/h),temperature_80m (°F),soil_temperature_6cm (°F),soil_temperature_0cm (°F),soil_moisture_0_to_1cm (m³/m³),soil_moisture_1_to_3cm (m³/m³),evapotranspiration (inch)
2025-01-01T00:00,32.6,94,31.1,58,0.020,0.008,0.000,0.083,974.4,0.098,42650.918,100,0.04,9.1,18.0,335,341,25.7,31.7,34.0,32.3,0.256,0.250,0.000
2025-01-01T01:00,32.5,92,30.5,60,0.012,0.000,0.000,0.083,975.2,0.131,44619.422,100,0.05,9.5,17.9,321,327,25.1,31.4,33.9,32.2,0.257,0.251,0.000
2025-01-01T02:00,32.5,91,30.2,28,0.012,0.000,0.000,0.083,975.8,0.131,34448.820,100,0.06,9.7,18.7,320,326,27.1,31.3,33.8,32.3,0.256,0.251,0.000
2025-01-01T03:00,32.1,91,29.8,17,0.004,0.000,0.000,0.028,976.4,0.131,38385.828,100,0.06,9.5,18.2,319,326,25.9,31.2,33.7,32.1,0.254,0.250,0.000
2025-01-01T04:00,32.1,86,28.4,10,0.000,0.000,0.000,0.000,976.8,0.131,52493.438,100,0.09,8.9,17.8,313,320,24.2,32.4,33.6,32.1,0.251,0.249,0.000
2025-01-01T05:00,32.6,87,29.2,6,0.000,0.000,0.000,0.000,977.3,0.131,51181.102,100,0.08,8.5,18.2,305,311,25.7,31.8,33.6,32.0,0.246,0.246,0.000
2025-01-01T06:00,32.4,86,28.6,4,0.000,0.000,0.000,0.000,977.9,0.098,52821.523,100,0.09,8.8,18.3,297,305,23.7,31.7,33.6,32.0,0.244,0.244,0.000
2025-01-01T07:00,32.5,89,29.7,2,0.000,0.000,0.000,0.000,978.2,0.098,49540.684,100,0.07,9.0,18.5,289,297,24.4,31.7,33.6,32.0,0.242,0.242,0.000
2025-01-01T08:00,32.7,90,30.1,2,0.000,0.000,0.000,0.000,979.3,0.098,46916.012,100,0.06,8.8,17.7,285,292,24.6,31.3,33.5,32.2,0.241,0.241,0.000
2025-01-01T09:00,32.0,90,29.4,1,0.000,0.000,0.000,0.000,980.1,0.098,45931.758,100,0.06,7.3,15.7,282,292,20.1,31.5,33.5,32.1,0.240,0.241,-0.000
2025-01-01T10:00,32.2,90,29.6,1,0.000,0.000,0.000,0.000,980.5,0.098,47572.180,100,0.06,6.7,13.9,274,281,19.0,31.4,33.4,31.8,0.240,0.240,0.000
2025-01-01T11:00,33.2,92,31.1,1,0.000,0.000,0.000,0.000,980.8,0.098,44947.508,100,0.05,5.6,13.2,265,273,19.5,31.2,33.3,31.6,0.239,0.239,0.000
2025-01-01T12:00,33.4,91,31.1,6,0.000,0.000,0.000,0.000,981.6,0.066,45931.758,100,0.06,6.7,13.7,266,272,20.4,30.4,33.5,32.1,0.239,0.239,0.000
2025-01-01T13:00,32.6,92,30.6,7,0.000,0.000,0.000,0.000,982.1,0.066,44291.340,100,0.05,5.7,14.1,259,267,20.8,30.0,33.5,32.2,0.241,0.239,0.000
2025-01-01T14:00,32.4,96,31.3,18,0.008,0.000,0.000,0.055,982.7,0.066,6889.764,100,0.02,8.6,17.4,253,258,23.9,29.9,33.5,32.5,0.245,0.241,0.000
2025-01-01T15:00,32.1,93,30.3,26,0.000,0.000,0.000,0.000,983.3,0.066,44291.340,100,0.04,11.2,20.0,250,254,25.7,30.0,33.6,32.7,0.248,0.245,0.000
2025-01-01T16:00,31.4,91,29.0,21,0.000,0.000,0.000,0.000,983.5,0.066,46916.012,100,0.05,11.2,19.2,253,258,24.2,29.9,33.7,33.6,0.259,0.250,0.000
2025-01-01T17:00,30.6,93,28.9,21,0.004,0.000,0.000,0.028,983.1,0.066,30183.727,100,0.04,12.1,21.4,258,263,26.2,30.2,34.1,33.6,0.264,0.256,0.000
2025-01-01T18:00,30.9,84,26.7,18,0.000,0.000,0.000,0.000,982.9,0.066,56102.363,100,0.09,13.8,22.1,262,263,25.7,30.5,34.0,33.6,0.265,0.258,0.000
2025-01-01T19:00,30.7,88,27.6,23,0.000,0.000,0.000,0.000,982.6,0.066,51181.102,100,0.07,12.9,21.4,253,256,26.4,29.6,34.4,34.0,0.264,0.259,0.000
2025-01-01T20:00,30.5,84,26.2,22,0.000,0.000,0.000,0.000,982.5,0.066,57742.781,100,0.09,13.0,21.3,259,262,26.6,29.6,34.2,32.6,0.258,0.256,0.000
2025-01-01T21:00,29.6,89,26.7,20,0.008,0.004,0.000,0.028,983.3,0.066,6233.596,99,0.06,12.4,21.5,256,261,30.9,29.0,33.7,31.7,0.253,0.252,0.000
2025-01-01T22:00,29.1,82,24.3,17,0.012,0.004,0.000,0.055,983.8,0.098,57086.613,99,0.10,13.2,22.1,259,263,30.2,28.3,33.3,30.5,0.250,0.250,0.000
2025-01-01T23:00,28.4,86,24.7,18,0.000,0.000,0.000,0.000,984.3,0.066,51181.102,58,0.07,10.3,20.1,265,269,29.8,27.6,32.9,29.5,0.248,0.248,0.000
2025-01-02T00:00,29.0,80,23.6,2,0.000,0.000,0.000,0.000,985.3,0.000,62335.957,34,0.11,10.8,21.8,274,279,30.4,27.9,32.9,29.6,0.249,0.249,0.000
2025-01-02T01:00,27.9,77,21.6,2,0.000,0.000,0.000,0.000,985.7,0.000,66272.969,67,0.12,11.2,20.6,267,274,30.4,27.5,32.7,29.4,0.248,0.248,0.000
2025-01-02T02:00,27.3,78,21.4,3,0.000,0.000,0.000,0.000,985.9,0.000,63976.379,48,0.11,10.3,19.1,269,276,28.4,27.1,32.4,29.2,0.247,0.248,0.000
2025-01-02T03:00,27.9,79,22.2,5,0.000,0.000,0.000,0.000,986.4,0.000,64304.461,45,0.11,8.5,18.6,268,275,27.3,27.0,32.2,28.4,0.246,0.247,0.000
2025-01-02T04:00,27.0,80,21.6,6,0.000,0.000,0.000,0.000,986.3,0.000,61023.621,17,0.10,7.3,15.0,258,268,25.1,26.9,32.1,28.1,0.246,0.247,0.000
2025-01-02T05:00,26.6,81,21.6,11,0.000,0.000,0.000,0.000,986.5,0.000,60039.371,33,0.09,7.5,15.2,258,269,22.4,26.9,32.1,28.1,0.245,0.246,0.000
2025-01-02T06:00,27.8,83,23.3,7,0.000,0.000,0.000,0.000,986.7,0.000,55774.277,100,0.09,9.2,16.5,247,252,23.3,26.3,32.1,28.3,0.245,0.245,0.000
2025-01-02T07:00,26.5,78,20.6,2,0.000,0.000,0.000,0.000,986.7,0.000,65616.797,98,0.11,10.3,20.0,271,274,26.2,26.3,32.1,28.2,0.244,0.245,0.000
2025-01-02T08:00,26.0,77,19.8,2,0.000,0.000,0.000,0.000,986.8,0.000,67913.383,95,0.11,9.3,17.3,260,266,24.4,25.7,32.0,28.0,0.244,0.245,0.000
2025-01-02T09:00,26.1,79,20.5,3,0.000,0.000,0.000,0.000,987.1,0.000,63320.211,99,0.10,9.0,17.2,267,273,22.1,25.0,32.0,27.9,0.244,0.244,0.000
2025-01-02T10:00,25.8,77,19.6,2,0.000,0.000,0.000,0.000,987.3,0.000,67913.383,99,0.11,10.6,17.5,265,269,22.6,24.6,31.9,27.6,0.243,0.244,0.000
2025-01-02T11:00,25.9,73,18.4,4,0.000,0.000,0.000,0.000,987.8,0.000,75459.320,100,0.13,11.7,18.6,267,271,22.8,24.5,31.9,27.2,0.243,0.243,0.000
2025-01-02T12:00,24.6,74,17.5,3,0.000,0.000,0.000,0.000,988.4,0.000,73162.727,88,0.12,11.7,20.6,266,269,25.3,24.2,32.0,27.0,0.243,0.243,0.000
2025-01-02T13:00,23.9,75,17.1,4,0.000,0.000,0.000,0.000,988.9,0.000,70209.977,99,0.11,9.6,16.1,270,269,21.7,24.1,32.0,26.5,0.242,0.243,0.000
2025-01-02T14:00,24.5,77,18.4,2,0.000,0.000,0.000,0.000,989.2,0.000,68897.641,50,0.10,10.1,16.8,266,268,23.0,24.3,31.9,27.1,0.242,0.242,0.000
2025-01-02T15:00,25.0,79,19.4,1,0.000,0.000,0.000,0.000,989.7,0.000,65944.883,49,0.10,9.4,15.4,266,268,23.3,24.8,31.8,28.4,0.241,0.242,0.000
2025-01-02T16:00,25.3,83,20.9,1,0.000,0.000,0.000,0.000,990.2,0.000,59383.203,99,0.08,10.0,16.5,258,261,20.6,25.0,31.8,29.5,0.241,0.242,0.000
2025-01-02T17:00,26.1,74,18.9,1,0.000,0.000,0.000,0.000,989.8,0.000,73818.898,100,0.12,11.9,19.8,274,275,21.9,25.4,31.8,30.1,0.240,0.241,0.000
2025-01-02T18:00,26.2,79,20.6,1,0.000,0.000,0.000,0.000,989.1,0.000,65944.883,100,0.10,10.5,17.0,271,273,19.9,24.9,31.6,29.7,0.239,0.241,0.000
2025-01-02T19:00,26.1,80,20.8,1,0.000,0.000,0.000,0.000,988.8,0.000,63320.211,99,0.10,12.6,19.2,266,269,20.8,25.2,31.7,30.3,0.239,0.240,0.000
2025-01-02T20:00,26.4,75,19.6,0,0.000,0.000,0.000,0.000,988.7,0.000,71850.391,100,0.12,11.6,18.2,272,274,19.2,25.4,31.7,29.6,0.238,0.240,0.000
2025-01-02T21:00,26.6,76,20.1,0,0.000,0.000,0.000,0.000,989.0,0.000,71194.227,99,0.12,11.9,17.9,265,267,19.5,25.4,31.7,29.2,0.238,0.239,0.000
2025-01-02T22:00,25.9,75,19.0,0,0.000,0.000,0.000,0.000,989.4,0.000,70866.141,99,0.12,10.8,16.4,265,266,19.2,25.2,31.6,28.1,0.237,0.239,0.000
2025-01-02T23:00,25.9,75,19.0,0,0.000,0.000,0.000,0.000,989.6,0.000,70866.141,52,0.12,9.3,16.5,262,263,20.6,24.7,31.6,27.7,0.237,0.238,0.000
2025-01-03T00:00,26.3,73,18.9,0,0.000,0.000,0.000,0.000,989.6,0.000,75131.234,72,0.13,8.1,16.1,265,272,22.1,23.8,31.5,27.9,0.237,0.238,0.000
2025-01-03T01:00,25.8,70,17.4,0,0.000,0.000,0.000,0.000,989.4,0.000,81692.914,81,0.14,8.5,17.1,276,281,22.1,23.7,31.4,27.7,0.237,0.238,0.000
2025-01-03T02:00,24.5,75,17.7,2,0.000,0.000,0.000,0.000,988.8,0.000,71522.312,87,0.11,5.4,13.0,265,274,18.6,23.8,31.3,27.8,0.237,0.238,0.000
2025-01-03T03:00,24.7,77,18.5,3,0.000,0.000,0.000,0.000,988.2,0.000,66601.047,99,0.10,5.7,10.6,239,248,17.4,24.3,31.1,27.6,0.237,0.238,0.000
